"","Made","Dist","Home","Stadium..","Indoor","Grass","Playoff","Time","Qtr","Marg","X.Marg.","Temp","Precip","Precip.Bin","Dewpt","Humidity","H.T.wind","C.wind","Altitude","Wind","Denver","FG.ID","Backup","Def.PA"
"137",1,36,1,12,0,1,0,53,1,-3,3,64,0,0,59,0.84,3.1,7.5,650,8.1,0,137,0,22.8
"138",1,38,1,12,0,1,0,42,2,0,0,63,0,0,60,0.9,10.4,0,650,10.4,0,138,0,22.8
"139",1,39,0,12,0,1,0,30,2,4,4,63,0,0,60,0.9,10.4,0,650,10.4,0,139,0,23.8
"140",1,33,1,12,0,1,0,21,3,-7,7,63,0,0,60,0.9,8.5,3.5,650,9.2,0,140,0,22.8
"141",1,26,0,14,1,0,0,42,2,-7,7,72,0,0,52,0.5,0,0,797,0,0,141,0,18.6
"142",1,21,0,14,1,0,0,2,4,3,3,72,0,0,52,0.5,0,0,797,0,0,142,0,18.6
"143",1,51,0,14,1,0,0,0,4,-1,1,72,0,0,52,0.5,0,0,797,0,0,143,0,18.6
"144",1,43,0,18,1,0,0,57,1,0,0,72,0,0,52,0.5,0,0,640,0,0,144,0,20.8
"145",1,28,1,18,1,0,0,31,2,-10,10,72,0,0,52,0.5,0,0,640,0,0,145,0,20.6
"146",1,32,1,18,1,0,0,9,4,7,7,72,0,0,52,0.5,0,0,640,0,0,146,0,20.6
"147",1,37,1,19,0,0,0,41,2,-7,7,78.1,0,0,56,0.46,2.5,2.5,289,3.5,0,147,0,19.8
"148",1,44,1,19,0,0,0,34,2,-11,11,78.1,0,0,56,0.46,2.5,2.5,289,3.5,0,148,0,19.8
"149",1,39,0,19,0,0,0,6,4,22,22,78.1,0,0,58,0.5,2.5,2.5,289,3.5,0,149,0,19.3
"150",1,37,0,24,0,1,0,47,1,0,0,80.1,0,0,56,0.43,0,0,6,0,0,150,0,18.1
"151",1,31,1,24,0,1,0,32,2,4,4,82,0,0,55,0.39,0,0,6,0,0,151,0,13.9
"152",1,53,0,24,0,1,0,30,2,-7,7,82,0,0,55,0.39,0,0,6,0,0,152,0,18.1
"153",1,31,1,24,0,1,0,2,4,6,6,72,0,0,55,0.5,0,0,6,0,0,153,0,13.9
"154",1,28,1,27,0,0,0,56,1,0,0,59,0,0,51,0.75,0,3.5,52,3.5,0,154,0,29.1
"155",1,43,0,27,0,0,0,43,2,-17,17,61,0,0,50,0.67,4.1,4.1,52,5.8,0,155,0,24.5
"156",1,29,0,27,0,0,0,32,2,-21,21,61,0,0,50,0.67,4.1,4.1,52,5.8,0,156,0,24.5
"157",1,38,1,27,0,0,0,30,2,18,18,61,0,0,50,0.67,4.1,4.1,52,5.8,0,157,0,29.1
"158",1,38,1,27,0,0,0,4,4,21,21,63,0,0,49,0.6,0,0,52,0,0,158,0,29.1
"159",1,44,0,28,0,1,0,37,2,-14,14,66,0,0,54,0.65,0,22.6,65,22.6,0,159,0,23.8
"160",0,43,1,28,0,1,0,20,3,18,18,66.9,0,0,53,0.61,0,18.4,65,18.4,0,160,0,32.3
"161",1,51,0,28,0,1,0,16,3,-18,18,66.9,0,0,53,0.61,0,18.4,65,18.4,0,161,0,23.8
"162",1,25,1,28,0,1,0,4,4,15,15,66,0,0,53,0.63,8.4,20.2,65,21.9,0,162,0,32.3
"163",1,44,0,31,0,1,0,57,1,0,0,79,0,0,60,0.52,0,0,410,0,0,163,0,14.6
"164",1,24,0,31,0,1,0,48,1,-4,4,79,0,0,60,0.52,0,0,410,0,0,164,0,14.6
